word_en,word_fr,concept_id
chauvinism,chauvinisme,n01156070
chauvinism,chauvinisme,n04878646
cheddar,cheddar,n07852919
cheddar,cheddar,n08878885
chef,chef,n09963574
chemist,chimiste,n09913824
chemist,chimiste,n10421470
chevalier,chevalier,n09902256
chevrotain,chevrotain,n02435853
chewing gum,chewing-gum,n07599998
chic,chic,a00975487
chic,chic,n04813712
chickpea,pois chiche,n07726095
chickpea,pois chiche,n12515711
chickpea,pois chiche,n12515925
chiffonier,chiffonnier,n03016953
chignon,chignon,n05259726
chimera,chimère,n05769314
chimera,chimère,n09493562
chinoiserie,chinoiserie,n03019535
chipolata,chipolata,n07676425
chitin,chitine,n14732722
chloroform,chloroforme,n03022406
chloroform,chloroforme,v00021826
chlorophyll,chlorophylle,n01398212
choreography,chorégraphie,n00528397
choreography,chorégraphie,n06816445
choreography,chorégraphie,n07020763
chou,chou,n07713895
chou,chou,n08479407
chrome,chrome,n14810704
chrome,chrome,v00517128
chrome,chrome,v01395945
chyle,chyle,n05403849
cigarette,cigarette,n03030663
cinema,cinéma,n03032252
cinema,cinéma,n06262567
cirque,cirque,n09245515
cistercian,cistercien,n10726388
citadel,citadelle,n02806088
cite,citer,v00791134
cite,citer,v01015866
cite,citer,v01023071
cite,citer,v01023259
cite,citer,v01023574
cite,citer,v01024190
cite,citer,v01705257
citron,citron,n07750449
citron,citron,n12709349
civet,civette,n02135220
civilisation,civilisation,n04811995
civilisation,civilisation,n08111783
civilisation,civilisation,n08287844
civilisation,civilisation,n13448970
civilization,civilisation,n04811995
civilization,civilisation,n08111783
civilization,civilisation,n08287844
civilization,civilisation,n13448970
civilize,civiliser,v00411312
clairvoyance,clairvoyance,n07256695
clan,clan,n07969695
clandestine,clandestin,a01706465
clarify,clarifier,v00505151
clarify,clarifier,v00939857
class,classe,n00884466
class,classe,n04815177
class,classe,n07974025
class,classe,n07997703
class,classe,n08103777
class,classe,n08238463
class,classe,n08238660
class,classe,n08239808
classic,classique,n03038595
classic,classique,n09926426
classification,classification,n01012712
classification,classification,n01148904
classification,classification,n05732756
classification,classification,n07939638
classify,classifier,v00654625
classify,classifier,v00739662
classify,classifier,v02508803
clementine,clémentine,n07748157
clementine,clémentine,n12710415
clientele,clientèle,n08401554
climate,climat,n14519366
climate,climat,n14524661
clinic,clinique,n03043274
clinic,clinique,n07146300
clinic,clinique,n08054076
clique,clique,n08240633
clown,clown,n09930876
clown,clown,n09931165
clown,clown,v00105778
club,club,n02931417
club,club,n03053788
club,club,n03054311
club,club,n03446070
club,club,n08079613
club,club,n08227214
club,club,v01423929
club,club,v02592111
club,club,v02592250
coalition,coalition,n00382109
coalition,coalition,n08293982
coalition,coalition,n14418662
cochineal,cochenille,n02250280
cochineal,cochenille,n14987025
cockpit,cockpit,n03061505
cocktail,cocktail,n07581775
cocktail,cocktail,n07911677
cocoon,cocon,n02312744
cocoon,cocon,v01581933
cocoon,cocon,v02092680
code,code,n06353934
code,code,n06355894
code,code,n06667317
code,code,v00994076
code,code,v01589723
codeine,codéine,n03062461
cognac,cognac,n07903841
cohabitation,cohabitation,n01054876
cohesion,cohésion,n11436585
cohesion,cohésion,n13449714
cohesion,cohésion,n14420464
coiffeuse,coiffeuse,n09934846
coiffure,coiffure,n05256862
coincide,coïncider,v00345312
coincide,coïncider,v02658734
coincide,coïncider,v02660442
coke,coke,n03066743
coke,coke,n07928696
coke,coke,n14685768
coke,coke,v00498836
col,col,n09249034
colic,colique,n14325732
collaborator,collaborateur,n09935434
collaborator,collaborateur,n09935793
collaborator,collaborateur,n09953483
collage,collage,n03067912
collage,collage,n07954946
cologne,cologne,n03071021
colonnade,colonnade,n02733213
colonnade,colonnade,n03071160
colossal,colossal,a01384730
colza,colza,n11879722
comatose,comateux,a00572202
comatose,comateux,a02844578
combat,combat,n00964343
combat,combat,n01170962
combat,combat,v01092366
comestible,comestible,a00828779
comestible,comestible,n07556637
commandery,commanderie,n00590626
commerce,commerce,n01090446
commerce,commerce,n07137622
commerce,commerce,n08129268
commercial,commercial,a00483146
commercial,commercial,a02346878
commercial,commercial,a03137558
commercial,commercial,n07250034
commissariat,commissariat,n07572353
committee,comité,n08324514
committee,comité,n08325686
commune,commune,n08375369
commune,commune,n08541609
compensable,compensable,a01708663
competence,compétence,n05153520
competition,compétition,n01168569
competition,compétition,n07456188
complex,complexe,a02176178
complex,complexe,n02914991
complex,complexe,n05870365
complex,complexe,n07482521
complex,complexe,n14817592
complicity,complicité,n13991245
compliment,compliment,n06695227
compliment,compliment,v00881661
compliment,compliment,v00881901
compote,compote,n07611046
compute,computer,v00637259
concentrate,concentrer,n05937878
concentrate,concentrer,n07567390
concentrate,concentrer,n14837506
concentrate,concentrer,v00236999
concentrate,concentrer,v00237259
concentrate,concentrer,v00237511
concentrate,concentrer,v00244625
concentrate,concentrer,v00365188
concentrate,concentrer,v00405236
concentrate,concentrer,v00722232
concentrate,concentrer,v02032934
concert,concert,n06892775
concert,concert,v00761600
concert,concert,v01639003
concessionaire,concessionnaire,n09951717
concierge,concierge,n09951953
concision,concision,n07089024
conclave,conclave,n08308410
concordat,concordat,n06772260
concubinage,concubinage,n01055065
condyle,condyle,n05471629
confiture,confiture,n07597145
congolese,congolais,a03056115
congolese,congolais,n09698644
consecutive,consécutif,a00127543
consecutive,consécutif,a00596511
consecutive,consécutif,a01667729
consecutive,consécutif,r00292349
conservatoire,conservatoire,n03092314
console,consoler,n02933340
console,consoler,n03092476
console,consoler,n03092656
console,consoler,n03092883
console,consoler,v01814815
consternation,consternation,n07519773
consulate,consulat,n03093427
consult,consulter,v00876442
consult,consulter,v00876665
consult,consulter,v00877083
consult,consulter,v00877559
consultant,consultant,n09774266
consumerism,consumérisme,n00799409
